Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
29901930,The Fisherman,John  Langan,"Langan, John",,"=""1939905214""","=""9781939905215""",4,3.84,Word Horde,Paperback,266,2016,2016,2026/02/20,2026/02/05,bros-from-the-book-club,bros-from-the-book-club (#9),read,,,,1,0
6101718,"The Magicians (The Magicians, #1)",Lev Grossman,"Grossman, Lev",,"=""0670020559""","=""9780670020553""",0,3.53,Viking,Hardcover,402,2009,2009,,2026/02/18,to-read,to-read (#59),to-read,,,,0,0
10842223,The Incal,Alejandro Jodorowsky,"Jodorowsky, Alejandro","Mœbius, Sasha Watson, Vanessa Molina Clémet, Justin Kelly, Brian Michael Bendis","=""1594650152""","=""9781594650154""",4,4.10,Humanoids,Hardcover,307,2011,1981,2026/02/05,2026/01/06,,,read,,,,1,0
222725518,Empire of AI: Dreams and Nightmares in Sam Altman's OpenAI,Karen Hao,"Hao, Karen",,"=""0593657519""","=""9780593657515""",0,4.04,Penguin Press,Kindle Edition,496,2025,2025,,2026/01/05,to-read,to-read (#58),to-read,,,,0,0
211399783,"The Thinking Machine: Jensen Huang, Nvidia, and the World's Most Coveted Microchip",Stephen Witt,"Witt, Stephen",,"=""0593832698""","=""9780593832691""",0,4.32,Viking,Hardcover,272,2025,2025,,2026/01/05,to-read,to-read (#57),to-read,,,,0,0
55887851,Second Foundation (Foundation #3),Isaac Asimov,"Asimov, Isaac",,"=""""","=""""",5,4.28,Del Rey,Paperback,234,2020,1953,2025/12/31,2025/10/09,queue,queue (#9),read,,,,1,0
208874101,El ruletista,Mircea Cărtărescu,"Cărtărescu, Mircea",Marian Ochoa de Eribe,"=""841513004X""","=""9788415130048""",5,4.20,Impedimenta,Paperback,62,2023,2011,2025/12/29,2025/12/29,,,read,,,,1,0
230422795,Neón Genesis Evangelion ANIMA Vol. 3,Ikuto Yamashita,"Yamashita, Ikuto",,"=""607582717X""","=""9786075827179""",3,3.84,Panini Manga,Paperback,320,2025,2018,2025/12/18,2025/09/24,,,read,,,,1,0
24842858,Antiimperialismo: Patriotas y traidores,Mark Twain,"Twain, Mark",,"=""""","=""""",2,3.50,Diario Público,Mass Market Paperback,267,2010,1992,2020/07/16,2020/07/06,,,read,,,,1,0
222490389,Alchemised,SenLinYu,"SenLinYu, SenLinYu",,"=""0593972708""","=""9780593972700""",0,4.37,Del Rey,Hardcover,1030,2025,2025,,2025/12/01,to-read,to-read (#56),to-read,,,,0,0
210384823,Shroud,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1035013797""","=""9781035013791""",0,4.18,Tor,Hardcover,436,2025,2025,,2025/11/12,to-read,to-read (#55),to-read,,,,0,0
216881365,Of Monsters and Mainframes,Barbara Truelove,"Truelove, Barbara",,"=""196472113X""","=""9781964721132""",0,4.08,Bindery Books,Paperback,411,2025,2025,,2025/11/12,to-read,to-read (#54),to-read,,,,0,0
